FID,Entity,GRID_ID,longitude,latitude
170,LWPolyline,"3,82",72.8290388,33.75816927
171,LWPolyline,"3,81",72.82907169,33.75816886
172,LWPolyline,"3,80",72.82910458,33.75816845
173,LWPolyline,"3,79",72.82913747,33.75816805
174,LWPolyline,"3,78",72.82917037,33.75816764
175,LWPolyline,"3,77",72.82920326,33.75816724
176,LWPolyline,"3,76",72.82923615,33.75816683
177,LWPolyline,"3,75",72.82926905,33.75816642
178,LWPolyline,"3,74",72.82930194,33.75816602
179,LWPolyline,"3,73",72.82933483,33.75816561
180,LWPolyline,"3,72",72.82936772,33.75816521
181,LWPolyline,"3,71",72.82940062,33.7581648
182,LWPolyline,"3,70",72.82943351,33.7581644
183,LWPolyline,"3,69",72.8294664,33.75816399
184,LWPolyline,"3,68",72.8294993,33.75816358
185,LWPolyline,"3,67",72.82953219,33.75816318
186,LWPolyline,"3,66",72.82956508,33.75816277
187,LWPolyline,"3,65",72.82959797,33.75816236
188,LWPolyline,"3,64",72.82963087,33.75816196
189,LWPolyline,"3,63",72.82966376,33.75816155
190,LWPolyline,"3,62",72.82969665,33.75816115
191,LWPolyline,"3,61",72.82972954,33.75816074
192,LWPolyline,"3,60",72.82976244,33.75816033
193,LWPolyline,"3,59",72.82979533,33.75815993
194,LWPolyline,"3,58",72.82982822,33.75815952
195,LWPolyline,"3,57",72.82986111,33.75815912
196,LWPolyline,"3,56",72.82989401,33.75815871
197,LWPolyline,"3,55",72.8299269,33.7581583
198,LWPolyline,"3,54",72.82995979,33.7581579
199,LWPolyline,"3,53",72.82999269,33.75815749
200,LWPolyline,"3,52",72.83002558,33.75815709
201,LWPolyline,"3,51",72.83005847,33.75815668
202,LWPolyline,"3,50",72.83009136,33.75815627
203,LWPolyline,"3,49",72.83012426,33.75815587
204,LWPolyline,"3,48",72.83015715,33.75815546
205,LWPolyline,"3,47",72.83019004,33.75815506
206,LWPolyline,"3,46",72.83022294,33.75815465
207,LWPolyline,"3,45",72.83025583,33.75815424
208,LWPolyline,"3,44",72.83028872,33.75815384
209,LWPolyline,"3,43",72.83032161,33.75815343
210,LWPolyline,"3,42",72.83035451,33.75815302
211,LWPolyline,"3,41",72.8303874,33.75815262
212,LWPolyline,"3,40",72.83042029,33.75815221
213,LWPolyline,"3,39",72.83045318,33.75815181
214,LWPolyline,"3,38",72.83048608,33.7581514
215,LWPolyline,"3,37",72.83051897,33.75815099
216,LWPolyline,"3,36",72.83055186,33.75815059
217,LWPolyline,"3,35",72.83058476,33.75815018
218,LWPolyline,"3,34",72.83061765,33.75814977
219,LWPolyline,"4,106",72.82824888,33.75815153
220,LWPolyline,"4,105",72.82828178,33.75815112
221,LWPolyline,"4,104",72.82831467,33.75815072
222,LWPolyline,"4,103",72.82834756,33.75815031
223,LWPolyline,"4,102",72.82838046,33.75814991
224,LWPolyline,"4,101",72.82841335,33.7581495
225,LWPolyline,"4,100",72.82844624,33.7581491
226,LWPolyline,"4,99",72.82847913,33.75814869
227,LWPolyline,"4,98",72.82851203,33.75814828
228,LWPolyline,"4,97",72.82854492,33.75814788
229,LWPolyline,"4,96",72.82857781,33.75814747
230,LWPolyline,"4,95",72.82861071,33.75814707
231,LWPolyline,"4,94",72.8286436,33.75814666
232,LWPolyline,"4,93",72.82867649,33.75814626
233,LWPolyline,"4,92",72.82870938,33.75814585
234,LWPolyline,"4,91",72.82874228,33.75814544
235,LWPolyline,"4,90",72.82877517,33.75814504
236,LWPolyline,"4,89",72.82880806,33.75814463
237,LWPolyline,"4,88",72.82884095,33.75814423
238,LWPolyline,"4,87",72.82887385,33.75814382
239,LWPolyline,"4,86",72.82890674,33.75814342
240,LWPolyline,"4,85",72.82893963,33.75814301
241,LWPolyline,"4,84",72.82897252,33.7581426
242,LWPolyline,"4,83",72.82900542,33.7581422
243,LWPolyline,"4,82",72.82903831,33.75814179
244,LWPolyline,"4,81",72.8290712,33.75814139
245,LWPolyline,"4,80",72.8291041,33.75814098
246,LWPolyline,"4,79",72.82913699,33.75814057
247,LWPolyline,"4,78",72.82916988,33.75814017
248,LWPolyline,"4,77",72.82920277,33.75813976
249,LWPolyline,"4,76",72.82923567,33.75813936
250,LWPolyline,"4,75",72.82926856,33.75813895
251,LWPolyline,"4,74",72.82930145,33.75813854
252,LWPolyline,"4,73",72.82933434,33.75813814
253,LWPolyline,"4,72",72.82936724,33.75813773
254,LWPolyline,"4,71",72.82940013,33.75813733
255,LWPolyline,"4,70",72.82943302,33.75813692
256,LWPolyline,"4,69",72.82946592,33.75813651
257,LWPolyline,"4,68",72.82949881,33.75813611
258,LWPolyline,"4,67",72.8295317,33.7581357
259,LWPolyline,"4,66",72.82956459,33.7581353
260,LWPolyline,"4,65",72.82959749,33.75813489
261,LWPolyline,"4,64",72.82963038,33.75813449
262,LWPolyline,"4,63",72.82966327,33.75813408
263,LWPolyline,"4,62",72.82969617,33.75813367
264,LWPolyline,"4,61",72.82972906,33.75813327
265,LWPolyline,"4,60",72.82976195,33.75813286
266,LWPolyline,"4,59",72.82979484,33.75813246
267,LWPolyline,"4,58",72.82982774,33.75813205
268,LWPolyline,"4,57",72.82986063,33.75813164
269,LWPolyline,"4,56",72.82989352,33.75813124
270,LWPolyline,"4,55",72.82992641,33.75813083
271,LWPolyline,"4,54",72.82995931,33.75813042
272,LWPolyline,"4,53",72.8299922,33.75813002
273,LWPolyline,"4,52",72.83002509,33.75812961
274,LWPolyline,"4,51",72.83005799,33.75812921
275,LWPolyline,"4,50",72.83009088,33.7581288
276,LWPolyline,"4,49",72.83012377,33.75812839
277,LWPolyline,"4,48",72.83015666,33.75812799
278,LWPolyline,"4,47",72.83018956,33.75812758
279,LWPolyline,"4,46",72.83022245,33.75812718
280,LWPolyline,"4,45",72.83025534,33.75812677
281,LWPolyline,"4,44",72.83028823,33.75812636
282,LWPolyline,"4,43",72.83032113,33.75812596
283,LWPolyline,"4,42",72.83035402,33.75812555
284,LWPolyline,"4,41",72.83038691,33.75812514
285,LWPolyline,"4,40",72.83041981,33.75812474
286,LWPolyline,"4,39",72.8304527,33.75812433
287,LWPolyline,"4,38",72.83048559,33.75812393
288,LWPolyline,"4,37",72.83051848,33.75812352
289,LWPolyline,"4,36",72.83055138,33.75812311
290,LWPolyline,"4,35",72.83058427,33.75812271
291,LWPolyline,"4,34",72.83061716,33.7581223
292,LWPolyline,"5,106",72.8282484,33.75812406
293,LWPolyline,"5,105",72.82828129,33.75812365
294,LWPolyline,"5,104",72.82831418,33.75812324
295,LWPolyline,"5,103",72.82834708,33.75812284
296,LWPolyline,"5,102",72.82837997,33.75812243
297,LWPolyline,"5,101",72.82841286,33.75812203
298,LWPolyline,"5,100",72.82844576,33.75812162
299,LWPolyline,"5,99",72.82847865,33.75812122
300,LWPolyline,"5,98",72.82851154,33.75812081
301,LWPolyline,"5,97",72.82854443,33.7581204
302,LWPolyline,"5,96",72.82857733,33.75812
303,LWPolyline,"5,95",72.82861022,33.75811959
304,LWPolyline,"5,94",72.82864311,33.75811919
305,LWPolyline,"5,93",72.82867601,33.75811878
306,LWPolyline,"5,92",72.8287089,33.75811838
307,LWPolyline,"5,91",72.82874179,33.75811797
308,LWPolyline,"5,90",72.82877468,33.75811756
309,LWPolyline,"5,89",72.82880758,33.75811716
310,LWPolyline,"5,88",72.82884047,33.75811675
311,LWPolyline,"5,87",72.82887336,33.75811635
312,LWPolyline,"5,86",72.82890625,33.75811594
313,LWPolyline,"5,85",72.82893915,33.75811554
314,LWPolyline,"5,84",72.82897204,33.75811513
315,LWPolyline,"5,83",72.82900493,33.75811472
316,LWPolyline,"5,82",72.82903782,33.75811432
317,LWPolyline,"5,81",72.82907072,33.75811391
318,LWPolyline,"5,80",72.82910361,33.75811351
319,LWPolyline,"5,79",72.8291365,33.7581131
320,LWPolyline,"5,78",72.8291694,33.75811269
321,LWPolyline,"5,77",72.82920229,33.75811229
322,LWPolyline,"5,76",72.82923518,33.75811188
323,LWPolyline,"5,75",72.82926807,33.75811148
324,LWPolyline,"5,74",72.82930097,33.75811107
325,LWPolyline,"5,73",72.82933386,33.75811066
326,LWPolyline,"5,72",72.82936675,33.75811026
327,LWPolyline,"5,71",72.82939964,33.75810985
328,LWPolyline,"5,70",72.82943254,33.75810945
329,LWPolyline,"5,69",72.82946543,33.75810904
330,LWPolyline,"5,68",72.82949832,33.75810863
331,LWPolyline,"5,67",72.82953122,33.75810823
332,LWPolyline,"5,66",72.82956411,33.75810782
333,LWPolyline,"5,65",72.829597,33.75810742
334,LWPolyline,"5,64",72.82962989,33.75810701
335,LWPolyline,"5,63",72.82966279,33.7581066
336,LWPolyline,"5,62",72.82969568,33.7581062
337,LWPolyline,"5,61",72.82972857,33.75810579
338,LWPolyline,"5,60",72.82976146,33.75810539
339,LWPolyline,"5,59",72.82979436,33.75810498
340,LWPolyline,"5,58",72.82982725,33.75810457
341,LWPolyline,"5,57",72.82986014,33.75810417
342,LWPolyline,"5,56",72.82989304,33.75810376
343,LWPolyline,"5,55",72.82992593,33.75810336
344,LWPolyline,"5,54",72.82995882,33.75810295
345,LWPolyline,"5,53",72.82999171,33.75810254
346,LWPolyline,"5,52",72.83002461,33.75810214
347,LWPolyline,"5,51",72.8300575,33.75810173
348,LWPolyline,"5,50",72.83009039,33.75810133
349,LWPolyline,"5,49",72.83012328,33.75810092
