GRID_ID,Number _of_Objects,Chapter_Object_1,Chapter_Object_2,Chapter_Object_3,Chapter_Object_4,Chapter_Object_5,Chapter_Object_6,Chapter_Object_7,Chapter_Object_8,Chapter_Object_9,Chapter_Object_10,Chapter_Object_11,Chapter_Object_12,Chapter_Object_13,Chapter_Object_14,Chapter_Object_15,Chapter_Object_16,Chapter_Object_17,Chapter_Object_18
"140,62",1,32,,,,,,,,,,,,,,,,,
"145,47",1,32,,,,,,,,,,,,,,,,,
"15,87",1,32,,,,,,,,,,,,,,,,,
"157,112",1,32,,,,,,,,,,,,,,,,,
"16,98",1,32,,,,,,,,,,,,,,,,,
"163,112",1,32,,,,,,,,,,,,,,,,,
"167,48",1,32,,,,,,,,,,,,,,,,,
"168,99",1,32,,,,,,,,,,,,,,,,,
"17,43",1,32,,,,,,,,,,,,,,,,,
"172,55",1,32,,,,,,,,,,,,,,,,,
"18,66",1,32,,,,,,,,,,,,,,,,,
"23,45",1,32,,,,,,,,,,,,,,,,,
"38,87",1,32,,,,,,,,,,,,,,,,,
"39,46",1,32,,,,,,,,,,,,,,,,,
"41,48",1,32,,,,,,,,,,,,,,,,,
"41,51",1,32,,,,,,,,,,,,,,,,,
"41,53",1,32,,,,,,,,,,,,,,,,,
"45,40",1,32,,,,,,,,,,,,,,,,,
"45,45",1,32,,,,,,,,,,,,,,,,,
"45,59",1,32,,,,,,,,,,,,,,,,,
"45,79",1,32,,,,,,,,,,,,,,,,,
"52,75",1,32,,,,,,,,,,,,,,,,,
"54,98",1,32,,,,,,,,,,,,,,,,,
"57,82",1,32,,,,,,,,,,,,,,,,,
"59,103",1,32,,,,,,,,,,,,,,,,,
"63,57",1,32,,,,,,,,,,,,,,,,,
"69,73",1,32,,,,,,,,,,,,,,,,,
"72,57",1,32,,,,,,,,,,,,,,,,,
"72,75",1,32,,,,,,,,,,,,,,,,,
"75,54",1,32,,,,,,,,,,,,,,,,,
"77,49",1,32,,,,,,,,,,,,,,,,,
"80,78",1,32,,,,,,,,,,,,,,,,,
"86,72",1,32,,,,,,,,,,,,,,,,,
"90,79",1,32,,,,,,,,,,,,,,,,,
"91,51",1,32,,,,,,,,,,,,,,,,,
"91,57",1,32,,,,,,,,,,,,,,,,,
"91,92",1,32,,,,,,,,,,,,,,,,,
"93,50",1,32,,,,,,,,,,,,,,,,,
"97,53",1,32,,,,,,,,,,,,,,,,,
"97,65",1,32,,,,,,,,,,,,,,,,,
"12,88",1,33,,,,,,,,,,,,,,,,,
"163,45",1,33,,,,,,,,,,,,,,,,,
"164,44",1,33,,,,,,,,,,,,,,,,,
"46,88",1,33,,,,,,,,,,,,,,,,,
"62,112",1,33,,,,,,,,,,,,,,,,,
"120,49",1,36,,,,,,,,,,,,,,,,,
"148,51",1,36,,,,,,,,,,,,,,,,,
"18,93",1,36,,,,,,,,,,,,,,,,,
"42,63",1,36,,,,,,,,,,,,,,,,,
"46,46",1,36,,,,,,,,,,,,,,,,,
"60,77",1,36,,,,,,,,,,,,,,,,,
"63,100",1,36,,,,,,,,,,,,,,,,,
